rowname,x,y;;;
20940177081,18.437688,-33.97336;;;
20940177082,18.437203,-33.972967;;;
20940177083,18.435773,-33.97032;;;
20940177084,18.436148,-33.969945;;;
20940177085,18.43833,-33.969795;;;
20940177086,18.441683,-33.970343;;;
20940177087,18.444242,-33.967373;;;
20940177088,18.447642,-33.963188;;;
20940177089,18.451945,-33.96283;;;
20940177090,18.452205,-33.962607;;;
20940177091,18.451877,-33.96221;;;
20940177092,18.452167,-33.962288;;;
20940177093,18.454075,-33.96291;;;
20940177094,18.454973,-33.96285;;;
20940177095,18.454913,-33.962795;;;
20940177096,18.454925,-33.961815;;;
20940177097,18.453732,-33.959502;;;
20940177098,18.453833,-33.957937;;;
20940177099,18.453762,-33.957932;;;
20940177100,18.453757,-33.958063;;;
20940177101,18.453805,-33.958047;;;
20940177102,18.455578,-33.957293;;;
20940177103,18.45678,-33.956637;;;
20940177104,18.456912,-33.956757;;;
20940177105,18.457438,-33.956352;;;
20940177106,18.459095,-33.955385;;;
20940177107,18.461773,-33.95283;;;
20940177108,18.462022,-33.952567;;;
20940177109,18.462153,-33.952443;;;
20940177110,18.462033,-33.952577;;;
20940177111,18.462092,-33.952553;;;
20940177112,18.462258,-33.95229;;;
20940177113,18.463683,-33.952035;;;
20940177114,18.463748,-33.952088;;;
20940177115,18.463603,-33.952053;;;
20940177116,18.463838,-33.952123;;;
20940177117,18.463735,-33.952063;;;
20940177118,18.465523,-33.949815;;;
20940177119,18.466258,-33.949248;;;
20940177120,18.466085,-33.94972;;;
20940177121,18.465905,-33.949825;;;
20940177122,18.465833,-33.94987;;;
20940177123,18.465687,-33.949992;;;
20940177124,18.466083,-33.949723;;;
20940177125,18.465858,-33.949627;;;
20940177126,18.465682,-33.949282;;;
20940177127,18.465093,-33.948817;;;
20940177128,18.464385,-33.94854;;;
20940177129,18.463328,-33.945737;;;
20940177130,18.463347,-33.9456;;;
20940177131,18.463307,-33.945525;;;
20940177132,18.463325,-33.945532;;;
20940177133,18.463365,-33.945475;;;
20940177134,18.463348,-33.945477;;;
20940177135,18.463295,-33.945507;;;
20940177136,18.463125,-33.945322;;;
20940177137,18.463892,-33.945767;;;
20940177138,18.463448,-33.945483;;;
20940177139,18.463428,-33.945487;;;
20940177140,18.463453,-33.945492;;;
20940177141,18.463457,-33.945493;;;
20940177142,18.463483,-33.945477;;;
20940177143,18.463483,-33.945477;;;
20940177144,18.459822,-33.944905;;;
20940177145,18.459722,-33.946248;;;
20940177146,18.444898,-33.938805;;;
20940177147,18.445265,-33.940105;;;
20940177148,18.444397,-33.939768;;;
20940177149,18.45114,-33.947187;;;
20940177150,18.450987,-33.947148;;;
20940177151,18.451017,-33.9472;;;
20940177152,18.453795,-33.953668;;;
20940177153,18.448405,-33.960162;;;
20940177154,18.443655,-33.964923;;;
20940177155,18.450523,-33.962865;;;
20940177156,18.45712,-33.964158;;;
20940177157,18.455008,-33.961443;;;
20940177158,18.455555,-33.96076;;;
20940177159,18.453603,-33.96047;;;
20940177160,18.451067,-33.954175;;;
